country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,444.8,428,441.9,438.4,453.2,471.5,480.6,494,508.3,513.2,533.1,535.8,548.7,557.8,555.3,556.5,549,574.7,560.9,532.9,547.1,551.4,547.5,561.3,567.5,566.3,550.4,563.1,573.3,575.7,515.1
Mexico,267.7,277.1,280,284,307.6,294.9,306.3,319.9,337.1,333.9,353.8,352.3,371.6,372.9,390.4,416.6,427.3,429.6,432.2,433.5,442.6,465.8,474,472.8,459.6,463.1,468.8,476.9,468,449.1,359.7
US,4970.5,4922.6,5004.9,5117.6,5195.4,5227.9,5407.6,5483,5524.1,5574.1,5740.7,5650.7,5672.3,5737.6,5838.9,5873.2,5795.2,5884.2,5700.9,5289.2,5485.7,5336.8,5089.8,5249.6,5254.6,5141.3,5042.5,4983.7,5137.5,4994.5,4432.2
Argentina,100.3,102.8,108.9,107.7,114,118.9,126.3,125,132,136.4,131.4,120.7,116,125.4,137.1,145.3,151.2,164.5,166,158.2,167.1,173.1,181.9,187.8,187.8,191.3,190.2,188.5,185.9,173.8,161.8
Brazil,196.6,206,216.3,227.2,237.2,251.7,270.8,283.8,294.4,297.4,301.7,311,311.1,308.2,322.9,330,335.4,349.8,373,350.5,398.3,423.8,442.9,482.9,504.5,487.6,450.7,458,443.1,442.3,415.2
Chile,31.7,32.7,33.4,35.6,38.8,42.3,47.6,54.9,56.4,58.3,56.4,53.8,55.3,55.3,60.2,61.5,65.4,76.5,77.4,74.4,76.1,87,89.4,91.1,88.4,88.9,94.1,92.4,93,94.6,87.7
Colombia,42,44.6,52.7,55.3,58.3,58.8,57.5,62.7,63.3,55,54.9,52.9,50.5,52.3,51.9,50.9,60.8,59.4,66.6,66.8,72.1,69.1,77.5,80.5,85.6,86.7,91.5,85.6,87.6,93.9,91.9
Ecuador,16.6,18.7,18.8,18.8,20.2,19.9,22.5,25.7,25.7,22.4,20.3,20.9,20.3,20.4,23.1,25.2,26.7,27,27.5,27.9,32.1,32.7,34.2,36.4,38.4,37.5,35.4,34.3,37,35.6,28.6
Peru,19.6,18.6,19.2,19.9,21.6,24.3,25.5,25.8,25.4,25.9,26,24.4,25.1,24.3,27.4,28.6,27.2,31,34.4,34.5,40.2,45.1,46.1,47,47.9,50.3,54.9,53.9,56.7,56.5,44.3
Trinidad & Tobago,9.6,9.1,10.6,10.7,10.2,11.3,11.8,10.8,10.3,12.4,13.2,13.9,15.7,18.1,19.2,19.1,22.4,23.6,23.8,22.2,24.7,24.6,24.2,25.5,24.8,24,22.1,21.3,20.6,20.3,18.2
Venezuela,112.2,106.2,117.5,114.7,124.9,128.2,119.4,127.2,137.9,138.6,142.1,151.8,156.3,144.4,152.9,153.6,160.1,171.5,165.4,166.2,167.4,167.3,177.9,183.4,173.3,172.2,149.3,146.3,119.6,91.2,69.6
Central America,21.1,23.1,26.3,28.1,30.8,34.1,33.4,36,41.4,40.8,42.7,45.9,46.1,48.2,49.3,48.7,51.7,54.4,54.9,53.7,54.8,58.7,59.6,60.6,62.6,68.7,71.5,71,71.3,79.9,68.7
Other Caribbean,89.3,84.9,83.3,84.5,89.4,87.3,88.6,94,97,90.5,106.4,113.9,113.2,117.6,120.3,120.5,124.7,123.5,115.9,109.8,108.9,111.1,108.3,105.7,105.3,108.6,112.3,108.4,111.8,115.7,109
Other South America,14.1,14.7,15.4,16.1,18,20.4,21,21.3,21.8,23.6,20.4,19.8,19.8,21.3,23.1,23.1,23.3,25.3,28,30.3,32.3,33.4,34.6,34.8,35.2,36,37.5,38.7,40.5,40.5,34.7
Austria,58,62.8,57.5,58,58.5,61.1,62.9,63.5,63.8,63,63.5,68.2,69.3,75,73.7,74.7,72.7,69,69.8,63.6,67.8,64.7,62.2,62.9,58.6,60.7,61.6,64.5,62.2,63.7,55.3
