Gigajoule per capita,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,385.6,382.0,387.6,392.8,403.4,409.0,415.7,414.0,404.6,413.5,420.8,408.5,418.3,416.5,418.5,417.3,410.0,419.8,410.6,389.5,388.8,398.9,395.5,400.7,398.0,395.9,387.7,387.8,389.4,386.3,361.1
Mexico,54.4,55.4,55.4,54.7,56.9,55.1,55.9,56.0,57.6,57.4,59.3,57.8,58.8,58.5,60.8,63.8,64.8,64.2,64.6,63.1,64.1,66.2,65.7,65.1,64.0,63.1,63.1,63.3,62.1,59.2,50.2
US,321.3,317.7,319.4,322.9,325.5,328.8,335.9,334.2,332.2,334.0,337.7,326.4,328.0,326.1,329.7,326.9,321.2,322.6,311.6,293.4,300.7,295.4,285.4,290.9,291.8,287.0,284.7,283.8,292.4,288.4,265.2
Argentina,56.3,56.5,59.8,60.7,63.3,65.0,67.7,68.1,69.9,69.8,69.2,66.7,63.4,67.0,70.3,73.9,76.9,79.7,79.8,76.8,79.1,80.7,82.9,85.2,84.2,84.9,83.5,82.9,80.9,75.5,69.7
Brazil,36.0,36.7,37.8,38.8,40.1,41.4,43.1,44.8,45.8,45.9,46.0,44.4,44.9,45.1,46.7,47.5,48.2,50.6,52.3,51.3,56.0,58.0,58.5,60.2,61.1,59.7,57.7,57.9,57.8,58.9,56.5
Chile,41.7,45.9,50.0,52.0,53.8,57.1,59.7,67.4,66.9,68.9,72.0,71.6,73.3,72.2,75.1,77.2,81.6,82.4,80.8,78.3,77.9,83.8,84.9,84.9,82.4,83.2,86.2,85.5,87.8,88.9,84.1
Colombia,26.8,27.3,28.0,30.3,31.9,31.8,32.0,32.5,32.1,29.2,28.0,27.1,26.6,27.1,27.2,26.9,29.7,29.4,31.5,30.5,31.8,32.5,34.5,34.4,35.8,35.7,37.1,37.1,37.3,37.9,34.7
Ecuador,28.2,30.4,29.6,29.9,31.8,29.5,32.8,35.9,35.3,31.5,29.2,29.0,28.1,28.1,29.9,31.1,32.3,33.4,34.9,33.6,36.8,38.4,39.9,40.6,42.0,41.2,40.3,40.9,42.5,42.8,36.6
Peru,17.2,16.7,16.0,17.0,18.2,19.5,19.8,19.6,19.3,19.6,19.8,19.3,19.6,19.1,20.2,20.9,20.9,22.7,24.3,24.7,28.0,30.7,31.4,31.7,32.2,33.3,35.1,35.4,36.7,36.5,30.2
Trinidad & Tobago,205.2,203.2,213.8,224.1,236.3,255.3,288.5,287.9,291.8,323.8,337.6,363.0,392.2,437.5,478.7,510.7,593.7,609.5,597.8,589.9,633.9,618.8,605.3,612.4,605.4,584.0,515.4,544.4,513.1,509.5,445.7
Venezuela,109.5,107.4,113.7,110.0,116.9,117.9,112.4,116.5,121.2,119.0,120.1,122.6,121.8,111.7,119.2,120.7,125.4,130.6,126.3,124.2,118.2,119.1,122.8,122.7,115.7,114.1,100.2,99.5,85.6,68.4,50.7
Central America,14.2,14.8,15.8,16.6,17.2,18.2,18.1,18.7,20.3,20.6,21.1,21.4,21.3,21.9,22.1,21.8,22.6,23.3,23.5,22.6,23.2,24.0,24.4,24.2,24.6,26.5,27.1,27.5,27.5,28.6,25.6
Other Caribbean,41.0,39.5,36.9,36.6,37.8,37.4,38.4,40.1,41.2,39.7,44.6,45.0,45.3,45.8,45.7,45.4,46.2,44.5,42.5,39.6,38.9,39.4,38.7,37.5,36.9,37.7,38.9,37.8,38.8,39.9,37.1
Other South America,35.7,37.0,36.8,39.1,43.0,47.4,48.7,52.0,53.2,52.3,50.5,46.1,46.9,48.4,47.1,46.8,46.1,49.0,49.8,50.5,52.2,53.4,54.0,54.9,53.0,53.3,56.9,55.7,56.1,52.4,45.5
Austria,153.4,160.0,155.9,157.4,155.4,162.0,162.0,165.0,167.4,170.8,171.0,176.7,176.2,177.7,179.8,182.0,179.3,174.5,177.4,170.7,175.7,163.7,170.7,168.5,160.4,159.5,163.5,166.0,160.8,167.2,153.6
Belgium,222.6,229.5,228.2,223.6,234.4,236.6,250.8,252.9,257.6,255.2,259.1,256.0,253.6,262.1,261.5,256.8,255.7,255.5,257.5,238.8,252.6,234.2,223.0,227.6,210.2,211.9,227.1,228.2,225.3,231.2,189.0
Bulgaria,131.6,107.2,101.7,109.6,106.7,116.1,116.8,111.8,108.2,95.3,97.2,101.3,99.7,104.3,101.7,110.8,113.8,111.2,110.1,96.9,101.5,108.7,103.7,96.5,103.6,110.8,105.7,108.9,109.5,106.5,99.3
Croatia,75.2,63.3,60.7,63.7,64.8,67.7,73.0,73.3,78.3,81.4,77.6,81.9,82.4,86.4,89.7,88.9,88.0,88.8,88.4,87.3,88.7,78.1,72.6,79.5,79.8,76.3,79.7,80.3,83.3,81.9,79.6
Cyprus,90.5,89.7,102.5,104.2,102.1,106.2,105.5,104.4,108.7,112.3,115.5,114.8,111.2,116.3,111.3,122.6,118.5,118.4,119.3,114.7,110.1,107.8,100.0,88.8,88.2,90.2,97.3,99.2,98.0,97.3,84.1
Czech Republic,190.0,172.8,167.6,166.1,161.7,168.5,174.5,167.5,162.9,156.4,165.5,169.6,170.3,180.2,184.7,181.5,184.2,181.1,176.4,168.1,174.3,169.8,168.5,165.0,161.3,158.0,155.6,162.0,161.2,158.9,143.6
Denmark,141.3,162.4,151.6,160.1,171.0,167.3,198.2,178.9,171.7,165.7,158.5,158.4,157.5,169.1,159.3,153.1,168.1,158.5,151.7,141.9,148.2,139.1,128.0,133.0,127.9,122.9,123.5,123.0,121.2,117.3,101.9
Estonia,276.8,252.7,186.0,150.2,154.3,146.5,156.6,155.3,145.9,135.1,138.9,145.3,145.6,159.5,166.7,165.5,163.6,186.1,178.4,159.0,192.8,199.5,203.1,210.7,205.8,192.4,193.4,213.6,220.1,163.5,140.5
